IP,ENEG,NDE,ZIF,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,RR,FLOWCELL,EC,CL,EPH,CD
7.83,1.83,6,1,0,0,0.2,2.5,4,45.13388569,21.55679635,1.02,1156.6,1000,4.16721831,0,1,1,8.8,5.66
7.61,1.91,8,0,0,0,2.181540012,10.18967142,2,53.31096592,20.71340279,1.119395763,406,900,3,0,0.5,0.1,7.3,8.57753251
7.83,1.83,6,1,0,0,2.7,5.71,4,46.25958761,18.06952884,1.072196267,583.1,950,5,0,0.1,0.6,6.8,2.0556
7.61,1.91,8,0,0,0,2.013,7.33,4,36.63105128,21.98734454,1.115529381,429.0655657,750,4.576169511,0,0.5,0.2,7.2,5.1
0,0,0,1,0,0,0,2.962409759,0,45.90626765,0,0.94,767.497302,1100,7.559285436,0,0.1,0.6,6.8,0.265
7.61,1.91,8,1,0,0,2.14,4.929365706,4.3,35.693,18.241,1.477324878,1174,900,5,0,0.5,0.4,7.2,4.070358735
7.61,1.91,8,0,1,0,10.86985168,13.66198627,4,59.06151003,25.05279831,0.98,367.7219509,800,5,0,0.5,0.8,7.2,6.376866442
7.61,1.91,8,0,0,0,1.05,1.42,3.6,58.2677,16.21837,1.041,1421.2,1000,2,0,0.5,0.6,7.4,10.99154
7.83,1.83,6,0,0,1,5.49,19.35840708,4.1,50.44396448,34.38924886,1.032048126,472.9299384,700,5,0,0.5,1,7.3,1.41292
7.69,1.9,10,1,0,0,2.18,6.802001155,3.8,42.35,19.95,1.15,1178.8,1000,5,0,0.1,1.5,6.8,5.61495
7.61,1.91,8,0,0,0,0.26,6.86,4,28.8,16.5,1.01,878,800,2,0,0.5,0.255,7.2,1.784
7.61,1.91,8,1,0,0,14.11403542,11.96760386,4,60.54522193,0,1.01721483,579.5449365,500,5,0,0.5,1,7.2,11.98
7.81,1.88,7,1,0,0,2.2,5.592864748,4,56.47655573,0,1.130457013,907.646741,1000,5,0,0.5,0.4,7.2,4.55
0,0,0,0,0,1,0,4.68,0,17.46724891,14.41048035,1.063640768,235.8,700,3.692051069,0,0.5,0.2,7.3,1.519788417
7.61,1.91,8,1,0,0,5.51,7.817211967,3.79,52.2,21.2,1.027354606,882.3579746,1000,5,0,0.5,3,7.33,19.48543
7.83,1.83,6,0,0,0,1.82,4.606459434,5,28,11,1.22,1353,900,3.949757669,0,0.1,0.2,6.8,4.39104
7.61,1.91,8,0,0,1,2.62,6.72,4,42.68,35.41,1.492415018,1535,900,5,0,0.5,1.06507923,7.2,20.9
9.35,1.65,10,1,0,0,0.1,5.56,4,47.0357717,22.82958199,1.073079504,637.2,950,5,0,0.1,0.6,6.8,7.68145
7.61,1.91,8,0,0,0,1.410734555,1.362088536,4,62.47765463,20.96889524,0.944578467,513.8919597,800,10,0,0.5,1,7.3,3.413
7.61,1.91,8,0,0,0,0.44,6.28,4,32.9,8.9,1.05,924,800,2,0,0.5,0.255,7.2,3.813
7.61,1.91,8,1,0,0,0.889,2.83,2,47.43117011,26.99115044,0.91,280.8,900,5,0,0.5,0.6,7.2,11.80312452
7.61,1.91,8,0,0,0,2.61,3.04,4,36.9,23.8,1,259,900,5,0,0.1,0.48,6.8,3.94919
7.83,1.83,6,1,0,0,1.74,5.15,4.4,52.91828794,37.54863813,0.98,1241,1000,2,0,0.5,0.1,7.2,0.55659
7.83,1.83,6,1,0,0,0.351,2.86,4,38.28954017,0,1.246563325,1102.2,1000,5,0,0.5,0.4,7.2,4.839913055
7.83,1.83,6,0,0,1,1.215180107,11.54421102,4,25.80645161,24.78005865,1.04,493.8541556,900,5,0,0.1,0.4,6.8,0.91
7.61,1.91,8,1,0,0,4.211922203,8.64170245,3.9,55.22198194,24.28444218,1.067551483,789,900,5,0,0.5,1,7.2,5.74788
7.61,1.91,8,0,0,1,2.63,4.67,4,48.72,34.7,1.063060347,103,900,5,0,0.5,0.701392981,7.2,1.08
7.83,1.83,6,0,0,0,0.86,4.290813177,4.2,13.47037559,66.88622021,1.04,1009,900,5,0,0.5,2,7.2,3.568485777
7.81,1.88,7,1,0,0,0.6,10.64064329,4.1,52.43,27.22,1.02,733.2495942,800,4.453063802,0,0.1,2,6.8,11.18886
