Element,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,FE90,FE95,ovpCL
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,13,6.469933045,4,53.2,15.3,26.8,4.7,1.030600513,429.6370153,0,650,3,5,0,0.5,0.5,177.8,1,1,7.3,7.08353,17.2779,29.32279,39.04708,41.10782,-0.828,-0.718,0.718,41.41,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,6.11,7.347705754,4,58.5,15.6,21.3,4.6,1.07024545,451.681389,1,650,3,5,0,0.5,0.5,177.8,1,1,7.3,51.68042,67.55611,75.90852,77.22847,73.73535,-0.731,-0.621,0.621,78.15,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,10.48,9.547383551,4,57.4,23.3,15.9,3.4,0.981498858,422.7526004,0,650,3,5,0,0.5,0.5,177.8,1,1,7.3,42.35662,44.09955,48.94599,66.67246,74.46753,-0.929,-0.819,0.819,75.15,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,4.02,11.37358606,4,64.1,20.2,13.4,2.3,0.9618886,228.8565938,1,650,3,5,0,0.5,0.5,177.8,1,1,7.3,65.04368,89.83949,95.2263,93.6213,88.5834,-0.726,-0.616,0.616,95.9,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,7.53,8.808216874,4,55.3,19.3,21.35,4.05,1.015205425,496.3234922,0,650,3,5,0,0.5,0.5,177.8,1,1,7.3,26.83764,43.21631,53.86556,61.2725,66.31305,-0.93,-0.82,0.82,67.6,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,2.28,7.679501339,4,61.3,17.9,17.35,3.45,1.014154853,390.0718363,1,650,3,5,0,0.5,0.5,177.8,1,1,7.3,67.89636,83.16105,88.8149,88.13698,83.84647,-0.73,-0.62,0.62,89.7,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,22.7,18.7,3.8,76.27180233,0,23.72819767,0,1.055160095,377.4954524,0,800,1,5,0,0.5,1,177.8,1,1,7.2,82.87295,89.41514,90.75505,89.41514,88.07523,-0.7,-0.59,0.59,90.75,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,22.7,18.7,11,35.30510585,0,64.69489415,0,1.111397685,436.7824417,0,400,1,5,0,0.5,1,177.8,1,1,7.2,61.48151,60.62162,52.73653,44.85144,36.96635,-0.55,-0.44,0.44,64,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.48,9.068144027,3,42.83164119,14.84993864,39.46781212,2.850608055,1.48,126,0,800,1,2.3,0,0.5,0.769501399,177.8,1,1.503752602,7.2,71.3522,84.56886,91.75896,93.93688,91.75896,-0.8,-0.69,0.69,93.93688,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,1,0,0,0,0,0.52,6.575740364,3.9,40.25185773,16.42180498,41.97628907,1.350048216,1.27,477.7384348,0,800,1,2.3,0,0.5,0.626819737,177.8,1,1.231080007,7.2,53.6007,82.39095,84.21085,79.52684,80.21303,-0.7,-0.59,0.59,84.21085,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,0.93,6.36,2.6,49.52830189,27.98742138,15.25157233,7.232704403,1.048462834,1011,0,1000,4,3,0,1,2,127,1,2,8.8,85.37497,94.38902,95.05688,95.05688,92.63516,-0.73,-0.62,0.62,95.56,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,2.07,7.29,2.7,53.6351166,29.76680384,11.65980796,4.938271605,1.03488809,923,0,1000,4,3,0,1,2,127,1,2,8.8,90.44612,96.74128,98.40148,98.47432,97.23706,-0.73,-0.62,0.62,98.84,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,5.44,10.35,2.4,53.71980676,29.75845411,11.5942029,4.927536232,1.002435099,871,0,1000,4,3,0,1,2,127,1,2,8.8,92.55912,96.74886,97.60684,97.82154,95.82588,-0.73,-0.62,0.62,97.82,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,0.72,11.37,2.7,63.67634125,21.63588391,10.55408971,4.133685136,1.001966825,893,0,900,4,3,0,1,2,127,1,2,8.8,80.23903,86.45254,85.37522,86.21215,87.99643,-0.93,-0.82,0.82,88.46,0,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.45,12.69,2.7,67.13947991,21.19779354,7.407407407,4.255319149,1.035440774,824,0,900,4,3,0,1,2,127,1,2,8.8,81.55222,90.03052,91.51946,92.80174,93.2696,-0.83,-0.72,0.72,93.3,1,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,5.03,10.75,2.7,63.34883721,21.30232558,10.88372093,4.465116279,0.998882312,775,0,900,4,3,0,1,2,127,1,2,8.8,85.28435,94.29616,95.98385,95.21052,92.23484,-0.73,-0.62,0.62,96.17,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,5.44,10.35,2.4,53.71980676,29.75845411,11.5942029,4.927536232,1.060208987,871,0,1000,4,3,0,1,0.088,127,1,2,8.8,83.07386,89.50072,95.92758,97.23689,97.20264,-0.83,-0.72,0.72,97.54,1,1,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,2.07,7.29,2.7,53.6351166,29.76680384,11.65980796,4.938271605,1.109732707,923,0,1000,4,3,0,1,0.226,127,1,2,8.8,74.25678,83.88565,93.51452,95.59407,94.86074,-0.83,-0.72,0.72,93,1,0,1
none,0,0,0,0,0,0,0,0,0,0,1,0,0,7.494086279,0,27.11420385,50.1023332,7.638149816,15.14531314,0.911023129,174,1,900,1,30,0,0.1,0.75,177.8,0,1,6.8,50.59379,70.99759,50.59379,31.93162,13.26945,-0.56,-0.45,0.45,79.85,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,1,0,1.05,6.525016676,4,37.97622264,37.66549581,7.768170765,16.59011078,1.009072311,634,1,900,1,30,0,0.1,0.75,177.8,0,1,6.8,70.8512,73.95917,49.24572,44.18734,39.12896,-0.57,-0.46,0.46,74.46,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,10.2,4.006305851,4,38.87367064,43.38543345,7.694166935,10.04672897,0.90784802,238,1,900,1,30,0,0.1,0.75,177.8,0,1,6.8,50.24572,54.0175,50.24572,45.18734,40.12896,-0.72,-0.61,0.61,83,0,0,1
Fe,55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,1.25,3.942046519,4,56,22.1,16.2,5.7,0.890316044,473.7613892,0,750,1,10.40086684,0,0.1,0.32,177.8,1,2,6.8,75.72579,77.73641,51.24572,46.18734,42.2705,-0.57,-0.46,0.46,81,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.5,5.201444974,4,60.53738273,21.3349514,14.97424914,5.563833743,0.895621966,549.5965678,0,1050,1,8.494776994,0,0.5,1,177.8,1,1,7.2,75.94703,73.85061,52.24572,47.18734,30.68727,-0.5,-0.39,0.39,75.94,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,2.1,9.253650892,4,67.52767334,24.11585962,8.105644918,0.891717216,0.878099427,533.3087014,0,950,1,8.493842513,0,0.5,1,177.8,1,1,7.2,73.85061,74.97062,53.24572,48.18734,35.68423,-0.6,-0.49,0.49,74.94,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,3.4,5.270791155,4,64.9751733,16.84130836,10.69041588,7.716799285,0.907638376,623.4831989,0,1050,1,8.02780492,0,0.5,1,177.8,1,1,7.2,55.18383,50.18688,54.24572,49.18734,28.13136,-0.5,-0.39,0.39,55.18383,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,3,6.076013742,4,50.83452392,22.94624743,19.45351874,4.677508444,1.019157322,787.0830979,1,1050,1,5.423406683,0,0.5,1,177.8,1,1,7.2,31.49138,30.05548,55.24572,50.18734,12.99691,-0.5,-0.39,0.39,31.49138,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,12,10.09200394,12,50.96570305,23.1400404,19.88199365,4.65734396,1.027239841,666.3124151,0,1050,1,5.149798604,0,0.5,1,177.8,1,1,7.2,8.94766,10.58459,56.24572,51.18734,3.49121,-0.6,-0.49,0.49,10.58459,0,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.5,4.418471535,4,50.59410456,23.29031929,19.07230113,7.569867583,0.914545004,750.712749,0,1050,1,8.574330694,0,0.1,1,177.8,1,1,6.8,87.07515,91.89114,57.24572,52.18734,47.12896,-0.6,-0.49,0.49,91.89114,1,0,0
Fe,55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.5,5.253291839,4,51.17412648,21.53045544,18.84742604,6.873795926,1.01619808,875.3609588,0,1050,1,5.171051374,0,1,1,177.8,1,1,8.8,68.84532,65.0339,58.24572,53.18734,48.12896,-0.5,-0.39,0.39,68.84532,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,2.59081336,3.712426963,4,24,14,47,15,0.99,103.4,1,950,0,10,0,0.1,1,127,0,1,6.8,69.23597,67.7514,50.71932,33.68724,16.65516,-0.53,-0.42,0.42,72.89,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.616423984,3.706157115,4,29.5,10,50,10.5,1.046333642,365.9,1,950,0.167,10,0,0.1,1,127,0,1,6.8,83.66757,66.70039,51,35.29961,19.59922,-0.53,-0.42,0.42,84,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.54072305,3.683715873,8,35,6,53,6,1.15,692.6,1,950,0.333,10,0,0.1,1,127,0,1,6.8,93.08709,91.67031,72.75461,53.83891,34.92321,-0.53,-0.42,0.42,94.92,1,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.458713195,2.291780881,8,29.5,5.5,59,6,1.099537009,480.5,1,950,0.667,10,0,0.1,1,127,0,1,6.8,84.86742,74.83465,49.97417,25.11369,0.25321,-0.53,-0.42,0.42,87,0,0,0
none,0,0,0,0,0,0,0,0,1,0,0,0,0,4.306736035,0,24,5,65,6,1.196324212,770.8,1,900,3,3,0,0.1,1,127,0,1,6.8,70.34846,80.43451,69.8,59.16549,48.53098,-0.58,-0.47,0.47,81.56,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,0.730148612,3.641154155,8,35,6,53,6,1.142748564,721.3,1,950,0.333,10,0,0.1,1,127,0,1,6.8,81.83737,80.34507,69.58084,58.81661,48.05238,-0.53,-0.42,0.42,86,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,1.54072305,3.683715873,8,35,6,53,6,1.15,692.6,1,950,0.333,10,0,0.5,1,127,0,1,7.2,93.3056,89.1703,85.035,80.8997,76.7644,-0.53,-0.42,0.42,94,1,0,0
none,0,0,0,0,0,0,0,0,0,0,0,1,0,3.419587854,0,13.21755909,0,74.03119473,12.75124618,1.308655844,622.2848454,0,1000,1,4.42703435,0,0.5,0.635646917,177.8,0,0.19625,7.2,63.22709,50.62684,35.09173,15.43792,7.08442,-0.51,-0.4,0.4,63.8,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,1.41,4.683251484,4,20.00724026,0,57.8858453,22.10691444,1.139204125,481.6750753,0,1000,1,3.786435761,0,0.5,0.295199083,177.8,0,0.19625,7.2,88.25148,96.29429,97.80977,99.09958,97.53637,-0.81,-0.7,0.7,98.95,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,4.04,5.727205076,4,48.90811356,16.67226608,15.70636654,18.71325382,1.025313305,598.6377937,0,1000,2,5,0,0.5,0.8,177.8,1,0.5,7.2,38.25754,77.68773,92.57255,97.00881,99.13938,-0.9,-0.79,0.79,98.79,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,6.63,5.727205076,4,48.90811356,16.67226608,15.70636654,18.71325382,1.047518765,689,0,1000,2,5,0,0.5,0.8,177.8,1,0.5,7.2,5.49264,65.01811,92.23993,96.0594,96.7715,-0.9,-0.79,0.79,96.7715,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,7.18,5.727205076,4,48.90811356,16.67226608,15.70636654,18.71325382,1.022260723,620.4287328,0,1000,2,5,0,0.5,0.8,177.8,1,0.5,7.2,26.78747,58.54176,88.16547,94.20696,93.38975,-0.8,-0.69,0.69,94.2,1,0,1
Ni,58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,2.01,4.727602668,4,44.94940833,19.97942034,17.49271137,17.57845996,0.994499209,602.930251,0,1000,2,5,0,0.5,0.8,177.8,1,0.5,7.2,7.85553,57.21733,83.88888,78.25678,72.46284,-0.7,-0.59,0.59,83.88888,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,9.25,3.407424121,12,44.69661881,14.590088,17.04492821,23.66836498,1.404130333,769.2539398,0,1000,2,5,0,0.5,0.8,177.8,1,0.5,7.2,0.21659,1.67317,6.755,1.86738,1.1229,-1,-0.89,0.89,7.49948,0,0,1
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,1,0,1.26,0.61,4,68.85245902,14.75409836,16.39344262,0,2.53,1154,0,800,1,9.116822747,0,0.5,1,177.8,1,1,7.2,26.34484,21.98641,13.44792,4.90943,0.01,-0.53,-0.42,0.42,28.43,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,1,0,0.77,0.61,4,68.85245902,14.75409836,16.39344262,0,3.02,1239.9,0,900,1,8.862294107,0,0.5,1,177.8,1,1,7.2,62.93697,57.30011,36.31488,15.32965,0.01,-0.53,-0.42,0.42,64.71,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,1,0,0.1,0.61,4,68.85245902,14.75409836,16.39344262,0,3.11,1402.4,0,1000,1,8.863592753,0,0.5,1,177.8,1,1,7.2,89.37444,82.2853,66.59617,40.89316,15.19015,-0.43,-0.32,0.32,94.34,1,0,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,1,0,0.01,0.61,4,68.85245902,14.75409836,16.39344262,0,2.89,1292.4,0,1100,1,8.660369953,0,0.5,1,177.8,1,1,7.2,48.40207,43.7996,25.65343,7.50726,0.01,-0.53,-0.42,0.42,50.75,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,1,0,0.1,0.46,4,60.86956522,28.26086957,10.86956522,0,3.11,1402.4,0,1000,1,9.947334019,0,0.5,1,177.8,1,1,7.2,70.16451,54.16244,38.38623,22.61002,6.83381,-0.53,-0.42,0.42,74.1,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,1,0,0.1,0.56,4,60.71428571,7.142857143,32.14285714,0,3.11,1402.4,0,1000,1,8.94667927,0,0.5,1,177.8,1,1,7.2,76.27268,69.13211,51.9386,34.74509,17.55158,-0.53,-0.42,0.42,77.55,0,0,0
Zn,65.38,30,9.35,1.65,10,0,0,0,0,0,1,0,0.1,0.77,4,71.42857143,18.18181818,10.38961039,0,3.11,1402.4,0,1000,1,9.020795147,0,0.5,1,177.8,1,1,7.2,78.73504,65.5223,46.16949,26.81668,7.46387,-0.53,-0.42,0.42,82.38,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,0,0,0,1,2.14,11.93,4,46.85666387,0,44.34199497,8.801341157,1.159443124,358.3235956,0,900,1,3,0,0.1,0.3,127,1,1,6.8,86.08246,76.99808,52.60149,35.59585,19.76451,-0.5,-0.39,0.39,86.3,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,0,1,2.83,11.88,4,50.67340067,0,44.27609428,5.050505051,1.174275937,376.820706,0,900,1,3,0,0.1,0.3,127,1,1,6.8,58.04937,90.28341,95.23447,95.22313,89.84578,-0.75,-0.64,0.64,96.97,1,1,1
Co,58.93,27,7.81,1.88,7,0,0,0,0,0,0,1,2.52,12.63,4,48.37688044,0,44.89311164,6.730007918,1.184493307,387.757334,0,900,1,3,0,0.1,0.3,127,1,1,6.8,38.77828,44.23205,43.53197,35.11186,26.56302,-0.66,-0.55,0.55,46.58,0,0,1
Cr,51.996,24,6.74,1.66,5,0,0,0,0,0,0,1,2.22,12.51,4,48.76099121,0,40.60751399,10.6314948,1.157340995,313.9293573,0,900,1,3,0,0.1,0.3,127,1,1,6.8,30.42319,43.60988,56.10756,68.07029,71.15492,-0.86,-0.75,0.75,72.42,0,0,1
Mn,54.938,25,7.4,1.55,5,0,0,0,0,0,0,1,2.74,12.48,4,48.31730769,0,44.47115385,7.291666667,1.167153379,325.8461336,0,900,1,3,0,0.1,0.3,127,1,1,6.8,57.47706,69.09626,52.6762,40.6651,31.9813,-0.6,-0.49,0.49,69.83,0,0,0
Cr,51.996,24,6.74,1.66,5,0,1,0,0,0,0,0,0.31,4.55164627,4,31.5,35.4,17.4,15.7,1.043392611,516,1,975,0.75,5.506851468,0,0.1,0.4,177.8,0,0.86519825,7.5,2.55,3.55,2.4,1.85,1.3,-0.55,-0.44,0.44,4.2,0,0,0
Mn,54.938,25,7.4,1.55,5,0,1,0,0,0,0,0,0.74,5.552526384,4,40.8,28.7,15.5,15,1.002118741,542,1,975,0.75,5.313578716,0,0.1,0.4,177.8,0,1.014003272,7.5,39.75,47.25,45.8,35,24.2,-0.65,-0.54,0.54,50.9,0,0,1
Fe,55.845,26,7.83,1.83,6,0,1,0,0,0,0,0,0.33,4.903229477,4,38.8,28.9,16.6,15.7,0.953101416,448,1,975,0.75,10.41664716,0,0.1,0.4,177.8,0,0.96160027,7.5,48,39.1,31.3,24.7,18.1,-0.45,-0.34,0.34,51.4,0,0,0
Co,58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,0.37,4.703854065,4,38.5,31.5,14.3,15.7,1.019225421,660,1,975,0.75,5.821192682,0,0.1,0.4,177.8,0,1.111333019,7.5,14.25,19.7,15.45,10.3,5.15,-0.55,-0.44,0.44,20,0,0,0
Ni,58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.76,5.522640474,4,39.06093906,28.87112887,15.88411588,16.18381618,0.979381729,589,1,975,0.75,5.960854157,0,0.1,0.4,177.8,0,1.014665287,7.5,33,53.5,63.3,71.15,63.3,-0.75,-0.64,0.64,72.6,0,0,1
Cu,63.546,29,7.69,1.9,10,0,1,0,0,0,0,0,0.27,5.705748408,4,35.23523524,34.63463463,14.11411411,16.01601602,1.0232491,712,1,975,0.75,5.382588801,0,0.1,0.4,177.8,0,1.049007521,7.5,32.7,44.65,46,32.45,18.9,-0.65,-0.54,0.54,48.8,0,0,1
Zn,65.38,30,9.35,1.65,10,0,1,0,0,0,0,0,0.42,5.126426228,4,38.23823824,30.43043043,14.51451451,16.81681682,1.0354602,690,1,975,0.75,5.974074009,0,0.1,0.4,177.8,0,1.13101237,7.5,27.7,37.95,35.05,23.65,12.25,-0.65,-0.54,0.54,40.1,0,0,1
none,0,0,0,0,0,0,1,0,0,0,0,0,0,4.998423688,0,25.17482517,48.85114885,10.98901099,14.98501499,1.110756859,688,1,975,0.75,5.021653435,0,0.1,0.4,177.8,0,0.730582978,7.5,43.8,47.35,39.65,31.4,23.15,-0.55,-0.44,0.44,49.8,0,0,0
Fe,55.845,26,7.83,1.83,6,0,0,0,1,0,0,0,6,7.2,3,38.66247893,28.45870997,18.07108932,14.80772177,1.137967638,340,1,900,3,5.33162371,0,0.1,0.785,177.8,0,1,6.8,79.85274,72.24364,50.15366,36.67489,23.40939,-0.5,-0.39,0.39,79.85274,0,0,0
Mn,54.938,25,7.4,1.55,5,0,0,0,1,0,0,0,5,6.22,3,38.68594834,29.66647162,21.26556884,10.3820112,1.137967718,345,1,900,3,5.064324325,0,0.1,0.785,177.8,0,1,6.8,80.4286,65.51342,47.27087,26.64801,10.86817,-0.5,-0.39,0.39,80.4286,0,0,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1.57,2.5,3.5,58.66666667,29.33333333,12,0,1.743553867,1564,1,600,2,10,1,0.5,2,177.8,1,1,7.2,8.56999,65.05288,82.583,78.24648,73.90996,-0.71,-0.6,0.6,82.72,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1.96,2.9,3.5,62.52873563,31.26436782,6.206896552,0,1.690039338,1564,1,650,2,10,1,0.5,2,177.8,1,1,7.2,18.45798,63.70915,89.5083,91.94934,95.56229,-0.9,-0.79,0.79,95.74,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,0.95,2.2,3.5,53.03030303,26.51515152,20.45454545,0,1.795584242,1564,1,750,2,10,1,0.5,2,177.8,1,1,7.2,2.22352,49.45513,80.23385,88.58798,79.54777,-0.8,-0.69,0.69,88.84,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,0.24,1.3,3.5,43.07692308,21.53846154,35.38461538,0,1.85339958,1564,1,850,2,10,1,0.5,2,177.8,1,1,7.2,3.23244,9.65825,32.05081,50.75648,57.31332,-0.89,-0.78,0.78,58.12,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1.79,2.5,3.5,56.42837118,28.21418559,15.35744323,0,1.066592428,214,1,650,2,10,1,0.5,2,177.8,1,1,7.2,16.00178,66.5039,88.61014,91.35181,91.35181,-0.85,-0.74,0.74,92.47,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,0.73,4.4,3.5,22.87636669,11.43818335,65.68544996,0,1.073653021,47,1,650,2,10,1,0.5,2,177.8,1,1,7.2,9.90839,48.73493,80.72914,86.23121,82.06153,-0.86,-0.75,0.75,86.56,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1.93,1.9,3.5,61.00364452,30.50182226,8.494533221,0,1.755946747,1369,1,650,2,10,1,0.5,2,177.8,1,1,7.2,14.22862,64.83648,90.20241,94.80402,94.04606,-0.73,-0.62,0.62,95.85,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,1.99,5.2,3.5,58.22647272,28.95245106,12.82107622,0,1.707643396,1564,1,650,2,10,1,0.5,2,177.8,1,1,7.2,12.8359,70.17266,92.17423,95.83739,92.56734,-0.77,-0.66,0.66,97.28,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,3.95,4.8,3.5,63.22647272,23.95245106,12.82107622,0,1.67643275,1564,1,650,2,10,1,0.5,2,177.8,1,1,7.2,63.29504,77.30573,91.31642,99.24744,99.36004,-0.81,-0.7,0.7,99.67,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,4.43,3.2,3.5,63.22647272,23.95245106,12.82107622,0,1.686755979,1564,1,650,2,10,1,0.5,2,177.8,1,1,7.2,34.56893,82.11027,96.8627,99.03541,97.51285,-0.79,-0.68,0.68,99.16,1,1,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,4.43,3.2,3.5,63.22647272,23.95245106,12.82107622,0,1.380857087,1564,1,650,2,10,1,0.1,2,177.8,1,1,13,89.29069,99.37985,85.73051,72.08117,58.43183,-0.59,-0.48,0.48,99.54,1,1,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,0,1,0,4.43,3.2,3.5,63.22647272,23.95245106,12.82107622,0,1.524454607,1564,1,650,2,10,1,1,2,177.8,1,1,13.8,98.26764,93.29315,74.85757,56.42199,37.98641,-0.39,-0.28,0.28,99.54,1,1,0
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,23,17.3,3.8,68.41995036,23.90219237,8.2494662,0.081247068,0.91970594,286.0295932,0,700,3,5,0,0.5,1,177.8,1,1,7.2,78.3779,88.2978,91.30139,88.2978,85.29421,-0.7,-0.59,0.59,91.3,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,23,18.7,3.8,68.48158175,23.80912967,8.643406243,0.320636265,0.951315319,306.128195,0,800,3,5,0,0.5,1,177.8,1,1,7.2,81.41948,90.34579,91.62226,90.34579,89.06932,-0.7,-0.59,0.59,91.62226,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,0,1,0,0,35.2,11.3,3.8,68.86919124,15.43830447,10.13829862,5.077845346,0.910013571,341.2798235,0,900,3,5,0,0.5,1,177.8,1,1,7.2,82.87153,88.41956,90.13458,88.41956,86.70454,-0.7,-0.59,0.59,90.13458,1,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,2.267041901,7.551594747,4.1,8.854891052,21.04775151,38.27074641,31.82661103,1.121643445,378,1,700,3,4.228338805,0,0.1,0.64773859,177.8,1,1.863106042,6.8,2.69601,12.16497,21.63393,44.9442,38.93557,-0.8,-0.69,0.69,44.9442,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,1.841854557,5.112734201,2.6,17.39077374,24.68879668,40.45643154,17.46399805,0.985543626,354,1,800,3,4.837964598,0,0.1,0.606935766,177.8,1,1.598550114,6.8,0.01,27.18655,63.74799,74.55816,65.54522,-0.7,-0.59,0.59,63.74799,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,1.392,2.8,2.2,16.37870651,26.02148027,36.72659351,20.87321971,1.045503428,242,1,900,3,4.241535237,0,0.1,0.676186133,177.8,1,1.274780716,6.8,0.01,30.51275,70.34675,76.51633,69.00554,-0.8,-0.69,0.69,76.51633,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,0.931577257,2.473498233,1.7,31.52818991,28.07863501,26.2611276,14.13204748,0.958514627,135,1,1000,3,4.720051493,0,0.1,0.699085277,177.8,1,0.960103189,6.8,25.71122,55.32518,84.93914,88.72136,75.01417,-0.8,-0.69,0.69,88.72136,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,0.468573275,1.357246728,2.2,33.21637427,29.77777778,25.92982456,11.07602339,1.018978788,157,1,1100,3,4.209915213,0,0.1,0.701036469,177.8,1,0.956840226,6.8,27.8035,57.57841,87.35332,88.72136,80.29855,-0.8,-0.69,0.69,88.72136,0,0,1
Ni,58.693,28,7.61,1.91,8,0,0,0,1,0,0,0,0.472082045,1.139508384,2.4,37.05744431,34.75967175,24.00937866,4.173505275,1.080572645,133,1,1200,3,4.205737598,0,0.1,0.719709098,177.8,1,1.038658718,6.8,0.01,33.35612,72.62682,73.056,73.21695,-0.9,-0.79,0.79,73.21695,0,0,1
